signal_squared,p,repetition,risk
5,199,1,63.513810085130558
5,199,2,967.20388894132589
5,199,3,3319.5199035120659
5,199,4,2989.1667267097132
5,199,5,37.569052375227926
5,199,6,122.47001993455673
5,199,7,95.398395060565434
5,199,8,51.535670649100609
5,199,9,105.7775805466419
5,199,10,93.265202725260195
5,199,11,43.789724618867901
5,199,12,117.59145198077225
5,199,13,55.096149497586815
5,199,14,229.14403646330678
5,199,15,427.38308604736301
5,199,16,162.69751562211709
5,199,17,310.17574132507082
5,199,18,145.91054052421467
5,199,19,109.06495991114267
5,199,20,8007.542272861926
5,200,1,49573.536222668197
5,200,2,332.39871136298899
5,200,3,8619.2863578716187
5,200,4,340.85048299996623
5,200,5,11097.165022907082
5,200,6,71.463750195340594
5,200,7,542.79824314633709
5,200,8,760.72350675027724
5,200,9,42.212472587798722
5,200,10,18903.759278717509
5,200,11,176.56564580363198
5,200,12,1461.6582601409145
5,200,13,38.817135447688905
5,200,14,498.60984030099991
5,200,15,86.848921219935903
5,200,16,225.80852658086854
5,200,17,1231.1690092745284
5,200,18,1783138.0028393723
5,200,19,369.04283705346478
5,200,20,259.42609126959263
5,220,1,16.352116459614056
5,220,2,11.876603858880991
5,220,3,7.3362606167878139
5,220,4,15.421219321816503
5,220,5,15.464777082981996
5,220,6,13.212580714114308
5,220,7,16.052330306802588
5,220,8,9.6464364151393447
5,220,9,8.8485289858076417
5,220,10,13.829502823204521
5,220,11,12.952394839009758
5,220,12,12.210008587871874
5,220,13,8.9635507210623793
5,220,14,7.3440123071450563
5,220,15,7.0859126433769291
5,220,16,12.986257848714471
5,220,17,8.5640191328193254
5,220,18,8.6426719599729918
5,220,19,11.80358185351003
5,220,20,10.504874825805494
5,240,1,4.8197877623118321
5,240,2,8.1263045671244534
5,240,3,6.99226361887703
5,240,4,7.8006762675483543
5,240,5,4.9065446474110308
5,240,6,6.2361872739957738
5,240,7,5.7949396076741255
5,240,8,8.9249745000464955
5,240,9,6.8934339393353996
5,240,10,6.537161699943657
5,240,11,6.7096841773567846
5,240,12,7.9728869554418447
5,240,13,4.9750479290728364
5,240,14,5.7010093065489693
5,240,15,6.972101411894057
5,240,16,5.4285314995667031
5,240,17,6.1545708463386513
5,240,18,8.844253021270136
5,240,19,7.1293555959501953
5,240,20,5.3721279802168596
5,260,1,4.3071480993337188
5,260,2,4.8576365047550398
5,260,3,3.4523826774512871
5,260,4,3.8394543289087188
5,260,5,3.3930893637537087
5,260,6,4.6050058618805831
5,260,7,4.4850866089753927
5,260,8,3.3376227419319018
5,260,9,4.4368686841352485
5,260,10,4.3299054120139715
5,260,11,3.7426380954482075
5,260,12,5.1496826194460503
5,260,13,5.0599355132887842
5,260,14,3.804615568146799
5,260,15,4.6635874312213161
5,260,16,5.5125336828943849
5,260,17,4.0104267840506971
5,260,18,4.5924460557781819
5,260,19,4.4677334269292155
5,260,20,3.8780920622439452
5,300,1,3.6163810887501744
5,300,2,3.3412456632195759
5,300,3,3.0034636720442673
5,300,4,3.0501497588450004
5,300,5,4.1558274666366888
5,300,6,3.4882843010662281
5,300,7,3.5158509621394232
5,300,8,3.7264369786493488
5,300,9,3.2471808382892542
5,300,10,3.661378421228318
5,300,11,3.8338852358214752
5,300,12,3.2820385040870037
5,300,13,3.1070151294989548
5,300,14,3.1158394533237899
5,300,15,3.7817377614956258
5,300,16,3.836880180289866
5,300,17,3.2935403622685513
5,300,18,4.4004412535318878
5,300,19,3.622539144076546
5,300,20,3.9874541264089971
5,400,1,3.8911930254984788
5,400,2,3.7853299199655988
5,400,3,3.4375764031706795
5,400,4,3.6917780908002067
5,400,5,3.0263231024242785
5,400,6,3.5265218756137409
5,400,7,3.4134553801870897
5,400,8,3.7469178881312319
5,400,9,3.2974242456388136
5,400,10,3.4079795090429008
5,400,11,3.3087860787854115
5,400,12,3.671578213687102
5,400,13,3.5594584522463739
5,400,14,3.5532575621359732
5,400,15,3.467938791125599
5,400,16,3.0229791837435989
5,400,17,3.1343034226520445
5,400,18,3.6143334380151564
5,400,19,3.5754219383623336
5,400,20,3.2640852136580305
5,600,1,4.0628088688894888
5,600,2,3.7273766149941472
5,600,3,3.646384661614325
5,600,4,3.7469134629258525
5,600,5,4.1201139960290849
5,600,6,4.004256316237397
5,600,7,3.9737700274530194
5,600,8,3.9288163128412372
5,600,9,3.7009976770164403
5,600,10,3.7035961737702343
5,600,11,3.7037635828883029
5,600,12,3.648340768141237
5,600,13,3.9146613445218734
5,600,14,4.2297717450330188
5,600,15,3.5426811518333765
5,600,16,3.9361398954012503
5,600,17,3.9037527281240472
5,600,18,3.7621367453468855
5,600,19,3.9915789051727235
5,600,20,3.8872574839356453
2,20,1,0.14637615712129645
2,20,2,0.16607087312688054
2,20,3,0.096260147499295498
2,20,4,0.076068298108716056
2,20,5,0.12009797181834375
2,20,6,0.11274053653530447
2,20,7,0.15442419957562187
2,20,8,0.08841868588229812
2,20,9,0.070818431609646293
2,20,10,0.064934927364200465
2,20,11,0.057783427759017486
2,20,12,0.071554607856387842
