replication,T,method,lower,upper,covers,length
7,10000,RS,-0.47554069980558017,-0.41890791535464572,1,0.056632784450934448
8,500,PI,-0.63590279669702465,-0.20443775452700555,1,0.43146504217001913
8,500,Boot,-0.61438833647712154,-0.20935979082980122,1,0.40502854564732033
8,500,RS,-0.60116580087772986,-0.23917475034630029,1,0.36199105053142955
8,1000,PI,-0.63278134888588211,-0.33567209423364186,1,0.29710925465224025
8,1000,Boot,-0.60311675451967417,-0.3426865807868642,1,0.26043017373280997
8,1000,RS,-0.61696213640291653,-0.3514913067166075,1,0.26547082968630903
8,2000,PI,-0.55070340908003146,-0.35715566940862487,1,0.19354773967140659
8,2000,Boot,-0.53877418102866659,-0.35899933001651974,1,0.17977485101214685
8,2000,RS,-0.52103330333157338,-0.38682577515708294,1,0.13420752817449044
8,5000,PI,-0.50739527958202013,-0.38904556985135552,1,0.11834970973066461
8,5000,Boot,-0.49837302651543497,-0.38787776266385854,1,0.11049526385157643
8,5000,RS,-0.4831733611911283,-0.41326748824224735,1,0.069905872948880954
8,10000,PI,-0.485707884300486,-0.40258056445708784,1,0.083127319843398162
8,10000,Boot,-0.48079697798823007,-0.39603246038713769,1,0.084764517601092382
8,10000,RS,-0.48685526177083838,-0.40143318698673547,1,0.085422074784102908
9,500,PI,-0.51302745541595296,-0.040346449217264629,1,0.47268100619868836
9,500,Boot,-0.49561017586709405,-0.046844448500530989,1,0.44876572736656306
9,500,RS,-0.38165573966729643,-0.17171816496592113,0,0.20993757470137531
9,1000,PI,-0.50369938956070381,-0.20855468161912999,1,0.29514470794157383
9,1000,Boot,-0.48660575407915907,-0.20439232995784601,1,0.28221342412131306
9,1000,RS,-0.47504910627023378,-0.23720496490959997,1,0.23784414136063381
9,2000,PI,-0.49077460719855803,-0.29979663383129906,1,0.19097797336725897
9,2000,Boot,-0.50301641858625112,-0.30265312376262427,1,0.20036329482362686
9,2000,RS,-0.50370277376137396,-0.28686846726848314,1,0.21683430649289082
9,5000,PI,-0.50266341721887309,-0.38353584395556389,1,0.11912757326330919
9,5000,Boot,-0.49417756832458881,-0.38806408983536089,1,0.10611347848922792
9,5000,RS,-0.54067435502729366,-0.34552490614714321,1,0.19514944888015046
9,10000,PI,-0.48276996709445497,-0.3996449531787567,1,0.083125013915698265
9,10000,Boot,-0.48176837229225167,-0.39836106958354706,1,0.083407302708704611
9,10000,RS,-0.47745059136367707,-0.4049643289095346,1,0.072486262454142469
10,500,PI,-0.75440292306609491,-0.26096246554586622,1,0.49344045752022869
10,500,Boot,-0.73860289885336261,-0.30035200483737767,1,0.43825089401598494
10,500,RS,-0.52905250465185882,-0.48631288396010236,0,0.042739620691756464
10,1000,PI,-0.59752985996771635,-0.30207775615514143,1,0.29545210381257492
10,1000,Boot,-0.60399493217135447,-0.2944456971668642,1,0.30954923500449028
10,1000,RS,-0.52941508654704383,-0.370192529575814,1,0.15922255697122983
10,2000,PI,-0.53359958406274777,-0.33826349122334382,1,0.19533609283940395
10,2000,Boot,-0.53167215127596856,-0.33579215715379934,1,0.19587999412216922
10,2000,RS,-0.47410917079139431,-0.39775390449469733,1,0.076355266296696978
10,5000,PI,-0.50261482896407383,-0.38265034488917471,1,0.11996448407489912
10,5000,Boot,-0.49571174658843559,-0.38429741941017675,1,0.11141432717825883
10,5000,RS,-0.46028973870884637,-0.42497543514440217,1,0.035314303564444205
10,10000,PI,-0.48495837017361204,-0.40186908556774009,1,0.083089284605871949
10,10000,Boot,-0.48250772967565297,-0.40065796352200783,1,0.081849766153645143
10,10000,RS,-0.46104742139323412,-0.42578003434811801,1,0.035267387045116116
11,500,PI,-0.63843340835786688,-0.12641424390132155,1,0.51201916445654527
11,500,Boot,-0.63094047600243786,-0.12101223969938341,1,0.50992823630305439
11,500,RS,-0.4336018953461942,-0.33124575691299429,0,0.10235613843319991
11,1000,PI,-0.57384466178821669,-0.26557494228582668,1,0.30826971950239002
11,1000,Boot,-0.55762070161422517,-0.26329383483368646,1,0.29432686678053871
11,1000,RS,-0.48387611722318158,-0.35554348685086179,1,0.12833263037231979
11,2000,PI,-0.56020881505011222,-0.35210413046405475,1,0.20810468458605746
11,2000,Boot,-0.54437811745094389,-0.3482862925806513,1,0.19609182487029259
